security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Chebyshev_Series,CKKS_Mult,CKKS_Mult_Scalar,CKKS_Square,CKKS_Sub,CKKS_Sub_Scalar,CKKS_Add_count,CKKS_Chebyshev_Series_count,CKKS_Mult_count,CKKS_Mult_Scalar_count,CKKS_Square_count,CKKS_Sub_count,CKKS_Sub_Scalar_count,CKKS_Add_contribution,CKKS_Sub_contribution,CKKS_Sub_Scalar_contribution,CKKS_Mult_Scalar_contribution,CKKS_Mult_contribution,CKKS_Square_contribution,CKKS_Chebyshev_Series_contribution,estimated_Energy
none,14,10,16,0.0418212765957446,20.116666666666667,1.2260869565217392,0.0347684605757196,1.1493877551020408,0.0460592850915431,0.0182346647646219,3,3,3,3,3,3,3,2.9274893617021216,3.9150392327811634,0.565274607703279,2.329486858573213,142.22608695652175,9.195102040816327,20.116666666666667,181.27514572476454
none,14,10,32,0.0424104803493449,19.980000000000004,1.2414893617021276,0.0340652446675031,1.1339583333333334,0.0451029159519725,0.0196944035346097,3,3,3,3,3,3,3,2.968733624454143,3.8337478559176628,0.6105265095729007,2.282371392722708,144.01276595744682,9.071666666666667,19.980000000000004,182.75981200678092
none,14,12,1,0.0138065326633165,34.95,1.884444444444445,0.0283163265306122,1.7294444444444448,0.0781069042316258,0.0077569040015029,3,3,3,3,3,3,3,0.966457286432155,6.639086859688193,0.2404640240465899,1.8971938775510173,218.59555555555562,13.835555555555558,34.95,277.1243131588291
none,14,12,2,0.0420657276995305,28.01,1.4958333333333331,0.0379431929480901,1.4220000000000004,0.0723172905525846,0.0172575691092584,3,3,3,3,3,3,3,2.944600938967135,6.14696969696969,0.5349846423870105,2.5421939275220367,173.51666666666665,11.376000000000003,28.01,225.07141587251252
none,14,12,4,0.0407329842931937,23.865,1.203939393939394,0.0343710191082802,1.1994285714285713,0.0547251308900523,0.017972693421597,3,3,3,3,3,3,3,2.851308900523559,4.651636125654446,0.5571534960695069,2.3028582802547732,139.65696969696972,9.59542857142857,23.865,183.4803550709006
none,14,12,8,0.0502757158006362,25.03333333333334,1.3913513513513516,0.037176923076923,1.3546153846153846,0.0521074815595363,0.0206161532056619,3,3,3,3,3,3,3,3.519300106044534,4.429135932560586,0.6391007493755189,2.490853846153841,161.3967567567568,10.836923076923076,25.03333333333334,208.34540380114768
none,14,12,16,0.0532978723404255,25.116666666666667,1.5254054054054051,0.0395091575091575,1.4994871794871796,0.0544226579520697,0.0225619487610247,3,3,3,3,3,3,3,3.7308510638297854,4.625925925925925,0.6994204115917657,2.6471135531135523,176.947027027027,11.995897435897437,25.116666666666667,225.76290208405212
none,14,12,32,0.0547952586206896,24.256666666666668,1.4986842105263156,0.0397430249632892,1.4612820512820512,0.0586176142697881,0.0224778761061946,3,3,3,3,3,3,3,3.8356681034482722,4.982497212931989,0.6968141592920326,2.6627826725403763,173.8473684210526,11.69025641025641,24.256666666666668,221.97205364618836
none,14,14,1,0.0157599405425492,43.43,2.0512500000000005,0.0366342412451361,2.010588235294118,0.0897186700767263,0.0091750108837614,3,3,3,3,3,3,3,1.103195837978444,7.626086956521736,0.2844253373966034,2.4544941634241186,237.94500000000005,16.084705882352942,43.43,308.9279081776739
none,14,14,2,0.047037037037037,34.800000000000004,1.669090909090909,0.0430855855855855,1.6360869565217393,0.0837125748502994,0.017590909090909,3,3,3,3,3,3,3,3.29259259259259,7.115568862275449,0.545318181818179,2.8867342342342286,193.61454545454544,13.088695652173914,34.800000000000004,255.34345497763982
none,14,14,4,0.0434966887417218,29.03,1.3649999999999998,0.0400754716981132,1.571923076923077,0.0642796610169491,0.0203448275862069,3,3,3,3,3,3,3,3.044768211920526,5.463771186440673,0.6306896551724138,2.6850566037735843,158.33999999999997,12.575384615384616,29.03,211.7696702726918
none,14,14,8,0.0506471306471306,30.045,1.4890909090909088,0.0420916162489196,1.39,0.0607776427703523,0.0222331047992164,3,3,3,3,3,3,3,3.545299145299142,5.166099635479946,0.6892262487757085,2.820138288677613,172.7345454545454,11.12,30.045,226.12030877277783
none,14,14,16,0.0641469489414694,32.33,1.674,0.0476903765690376,1.5689473684210526,0.067622027534418,0.0274195121951219,3,3,3,3,3,3,3,4.490286425902858,5.74787234042553,0.8500048780487789,3.1952552301255195,194.184,12.551578947368421,32.33,253.34899782187114
none,14,14,32,0.0644968944099378,31.055,1.7673529411764706,0.0459983291562239,1.5448648648648649,0.068689138576779,0.0279494655004859,3,3,3,3,3,3,3,4.514782608695646,5.838576779026215,0.8664334305150628,3.0818880534670012,205.01294117647058,12.358918918918919,31.055,262.7285409670934
none,14,16,1,0.0179253112033195,52.63,2.380000000000001,0.0400893854748603,2.4400000000000004,0.0999999999999999,0.0110887896825396,3,3,3,3,3,3,3,1.254771784232365,8.499999999999991,0.34375248015872756,2.6859888268156404,276.0800000000001,19.520000000000003,52.63,361.0145130912068
