security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Add_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Add_contribution,CKKS_Rotate_contribution,CKKS_Mult_contribution,CKKS_Mult_Plaintext_contribution,estimated_Energy
none,14,10,2,0.0192852614233003,1.152111111111111,0.07428286645589781,1.1582354797979797,3,3,3,3,3.4327765333474534,223.53944760101007,18.433777777777777,2.37705172658873,247.78305363872403
none,14,10,4,0.0351196864202148,0.9790365448504982,0.05621838662593523,0.841904761904762,3,3,3,3,6.251304182798234,162.48761904761906,15.66458471760797,1.7989883720299273,186.2024963200552
none,14,10,8,0.03991241154026513,1.162072463768116,0.059086943006880575,1.040722724987431,3,3,3,3,7.1044092541671935,200.85948592257415,18.593159420289854,1.8907821762201784,228.44783677325137
none,14,10,16,0.042514838725358904,1.2575120772946862,0.053076369659208596,1.0659923130677849,3,3,3,3,7.567641293113885,205.73651642208247,20.12019323671498,1.698443829094675,235.12279478100604
none,14,10,32,0.0444383606128918,1.2429602220166511,0.04980088228009657,1.0675845741726244,3,3,3,3,7.910028189094741,206.0438228153165,19.887363552266418,1.5936282329630902,235.43484278964073
none,14,12,1,0.013337902256828633,1.9040740740740745,0.06602175969725631,1.6901754385964916,3,3,3,3,2.3741466017154966,326.2038596491229,30.46518518518519,2.112696310312202,361.15588774633574
none,14,12,2,0.03579860294138567,1.4969444444444442,0.08563517188197567,1.3850664767331435,3,3,3,3,6.37215132356665,267.3178300094967,23.951111111111107,2.7403255002232214,300.38141794439764
none,14,12,4,0.040634521541756764,1.3361530327909639,0.06490994144839411,1.0933833833833833,3,3,3,3,7.232944834432704,211.02299299299298,21.378448524655422,2.0771181263486116,241.71150447842973
none,14,12,8,0.05242349662708864,1.3830820293978185,0.05904927387111623,1.1538724453840732,3,3,3,3,9.331382399621777,222.69738195912612,22.129312470365097,1.8895767638757193,256.04765359298875
none,14,12,16,0.05388705409124587,1.540222854433381,0.059204083811532894,1.3307575757575758,3,3,3,3,9.591895628241765,256.83621212121216,24.643565670934095,1.8945306819690526,292.9662041023571
none,14,12,32,0.053987208843464106,1.4814912280701755,0.06656357342926916,1.3719696969696968,3,3,3,3,9.609723174136612,264.7901515151515,23.70385964912281,2.130034349736613,300.2337686881475
none,14,14,1,0.015919755459138266,1.9622916666666665,0.07310839160839154,1.9249019607843139,3,3,3,3,2.8337164717266115,371.5060784313726,31.396666666666665,2.3394685314685293,408.0759301012344
none,14,14,2,0.0480155464106081,1.6530303030303026,0.1047377879822599,1.5794021739130433,3,3,3,3,8.546767261088242,304.82461956521735,26.448484848484842,3.3516092154323167,343.1714808902227
none,14,14,4,0.0465954006478674,1.356111111111111,0.06866610684996327,1.2377272727272728,3,3,3,3,8.293981315320398,238.88136363636366,21.697777777777777,2.1973154191988247,271.0704381486607
none,14,14,8,0.05273552016323766,1.4750050929462695,0.06805959087544977,1.24761420828494,3,3,3,3,9.386922589056304,240.78954219899342,23.60008148714031,2.1779069080143927,275.9544531832044
none,14,14,16,0.06553095576960544,1.682845598845599,0.07680941171402776,1.4649786050492084,3,3,3,3,11.664510126989768,282.74087077449724,26.925529581529585,2.4579011748488884,323.78881165786544
none,14,14,32,0.06657980003485087,1.7546078431372552,0.06843176504650317,1.4455182926829269,3,3,3,3,11.851204406203454,278.98503048780486,28.073725490196082,2.1898164814881014,321.0997768656925
none,14,16,1,0.0179701148700793,2.374285714285715,0.08235507300673862,2.1764444444444444,3,3,3,3,3.1986804468741155,420.0537777777778,37.98857142857144,2.635362336215636,463.87639198943896
none,14,16,2,0.051358903381776067,1.9596491228070179,0.12521303258145358,1.7326984126984124,3,3,3,3,9.14188480195614,334.4107936507936,31.354385964912286,4.006817042606515,378.9138814602686
none,14,16,4,0.05634556698914887,1.7485166666666665,0.0961295046496047,1.4241830870279149,3,3,3,3,10.029510924068498,274.8673357963876,27.976266666666664,3.07614414878735,315.94925753591014
none,14,16,8,0.06099819459841127,1.6846666666666668,0.062860620508828,1.4768433368433367,3,3,3,3,10.857678638517207,285.03076401076396,26.954666666666668,2.011539856282496,324.85464917223027
none,14,16,16,0.059388832314001334,2.0069999999999997,0.0783906501241578,1.725860119047619,3,3,3,3,10.571212151892238,333.09100297619045,32.111999999999995,2.5085008039730496,378.28271593205574
none,14,16,32,0.07407122064836297,2.0061453201970445,0.08153753480788924,1.7305377302436125,3,3,3,3,13.184677275408609,333.9937819370172,32.09832512315271,2.6092011138524556,381.885985449431
none,14,18,1,0.020944397459929733,2.409145299145299,0.07428378864126524,2.387692307692308,3,3,3,3,3.7281027478674926,460.82461538461547,38.54632478632478,2.3770812365204876,505.4761241553282
none,14,18,2,0.04777579501829116,2.026220043572985,0.11280470125999183,2.0273294346978554,3,3,3,3,8.504091513255828,391.2745808966861,32.41952069716776,3.6097504403197385,435.8079435474294
none,14,18,4,0.06057430210357081,1.7924999999999998,0.1024737514760972,1.54196106362773,3,3,3,3,10.782225774435604,297.5984852801519,28.679999999999996,3.2791600472351106,340.33987110182267
none,14,18,8,0.07509225059407003,1.8133333333333332,0.09118741058655215,1.617092803030303,3,3,3,3,13.366420605744466,312.09891098484843,29.013333333333332,2.917997138769669,357.3966620626959
none,14,18,16,0.0908441225630805,2.214552545155994,0.0906313912068258,1.9078125000000001,3,3,3,3,16.17025381622833,368.20781250000005,35.432840722495904,2.9002045186184255,422.7111115573427
none,14,18,32,0.08667455410190861,2.2219563152896487,0.10607926446494308,1.885161290322581,3,3,3,3,15.428070630139732,363.8361290322581,35.55130104463438,3.3945364628781785,418.21003716991044
